Mes,Subestacao,Consumo(kWh)
Outubro,Litoral,1167
Julho,Aurora,1287
Dezembro,Aurora,1261
Setembro,Aurora,1161
Julho,Planalto,1531
Janeiro,Progresso,1545
Janeiro,Litoral,1842
Setembro,Litoral,1833
Novembro,Progresso,1127
Setembro,Planalto,421
Abril,Planalto,1876
Setembro,Progresso,1729
Marco,Progresso,1590
Julho,Horizonte,414
Junho,Planalto,1110
Agosto,Aurora,168
Novembro,Litoral,458
Setembro,Planalto,412
Maio,Progresso,1442
Janeiro,Aurora,1007
Marco,Horizonte,1226
Outubro,Horizonte,372
Dezembro,Aurora,807
Agosto,Aurora,1367
Novembro,Progresso,1553
Junho,Progresso,993
Agosto,Litoral,1797
Setembro,Litoral,1551
Abril,Horizonte,497
Janeiro,Aurora,1203
Janeiro,Horizonte,753
Outubro,Progresso,758
Abril,Planalto,1841
Dezembro,Progresso,1028
Julho,Planalto,1733
Fevereiro,Aurora,391
Marco,Aurora,1340
Janeiro,Aurora,1960
Maio,Litoral,1411
Janeiro,Litoral,524
Agosto,Planalto,1488
Janeiro,Horizonte,340
Novembro,Horizonte,221
Janeiro,Planalto,1512
Fevereiro,Litoral,350
Fevereiro,Progresso,198
Dezembro,Planalto,709
Junho,Horizonte,1338
Julho,Planalto,1168
Maio,Planalto,1978
Janeiro,Aurora,747
Janeiro,Litoral,1016
Marco,Aurora,466
Fevereiro,Litoral,306
Maio,Planalto,1796
Dezembro,Litoral,564
Outubro,Horizonte,728
Junho,Aurora,1981
Julho,Planalto,1423
Abril,Horizonte,961
Julho,Litoral,254
Novembro,Litoral,739
Agosto,Horizonte,393
Novembro,Litoral,514
Janeiro,Aurora,1612
Junho,Progresso,78
Agosto,Litoral,1712
Maio,Planalto,1449
Abril,Litoral,154
Fevereiro,Planalto,383
Junho,Litoral,1142
Junho,Litoral,156
Novembro,Planalto,1765
Janeiro,Aurora,151
Setembro,Progresso,1335
Dezembro,Progresso,1737
Novembro,Aurora,601
Junho,Litoral,1362
Marco,Progresso,186
Abril,Aurora,539
Dezembro,Aurora,1762
Novembro,Progresso,116
Abril,Planalto,1224
Marco,Horizonte,327
Outubro,Planalto,1913
Marco,Litoral,261
Marco,Planalto,1919
Abril,Horizonte,1423
Julho,Horizonte,677
Abril,Aurora,697
Setembro,Litoral,1220
Janeiro,Aurora,414
Agosto,Planalto,727
Julho,Planalto,1301
Fevereiro,Progresso,1719
Agosto,Aurora,1765
Janeiro,Aurora,1363
Novembro,Aurora,1403
Dezembro,Aurora,912
Setembro,Horizonte,444
Setembro,Progresso,604
Fevereiro,Litoral,852
Julho,Litoral,1212
Outubro,Litoral,473
Marco,Horizonte,1326
Julho,Progresso,465
Dezembro,Progresso,994
Outubro,Horizonte,1580
Setembro,Aurora,395
Abril,Planalto,746
Dezembro,Aurora,626
Janeiro,Litoral,865
Fevereiro,Aurora,229
Janeiro,Horizonte,1880
Dezembro,Litoral,263
Maio,Planalto,487
Maio,Litoral,1553
Novembro,Aurora,202
Julho,Progresso,921
Setembro,Progresso,990
Setembro,Progresso,1486
Marco,Litoral,1942
Marco,Progresso,1873
Marco,Horizonte,1196
Abril,Planalto,655
Agosto,Progresso,1965
Junho,Horizonte,1964
Agosto,Horizonte,1667
Janeiro,Litoral,1693
Agosto,Litoral,801
Abril,Planalto,1652
Novembro,Planalto,1853
Janeiro,Aurora,1003
Agosto,Planalto,1316
Abril,Litoral,837
Junho,Horizonte,1379
Agosto,Aurora,1209
Abril,Planalto,1232
Marco,Horizonte,201
Setembro,Litoral,943
Marco,Progresso,958
Setembro,Aurora,505
Fevereiro,Horizonte,1627
Fevereiro,Litoral,383
Fevereiro,Litoral,512
Junho,Aurora,1542
Marco,Aurora,1920
Setembro,Planalto,1099
Abril,Planalto,1239
Janeiro,Aurora,1439
Abril,Aurora,855
Janeiro,Horizonte,488
Maio,Planalto,146
Abril,Litoral,443
Agosto,Planalto,1540
Agosto,Planalto,316
Julho,Aurora,1972
Marco,Aurora,1196
Janeiro,Planalto,1608
Janeiro,Progresso,879
Dezembro,Progresso,1271
Novembro,Planalto,1114
Marco,Progresso,170
Junho,Planalto,474
Julho,Aurora,1934
Junho,Aurora,53
Junho,Aurora,1328
Junho,Litoral,692
Marco,Aurora,1072
Junho,Aurora,1541
Agosto,Planalto,868
Novembro,Progresso,232
Novembro,Progresso,1180
Fevereiro,Aurora,548
Maio,Aurora,1520
Janeiro,Aurora,1250
Dezembro,Planalto,121
Janeiro,Planalto,119
Maio,Planalto,630
Dezembro,Progresso,1849
Marco,Litoral,172
Abril,Progresso,441
Marco,Planalto,1300
Janeiro,Horizonte,964
Janeiro,Litoral,417
Dezembro,Aurora,507
Dezembro,Progresso,232
Maio,Litoral,1300
Junho,Horizonte,1145
Marco,Litoral,561
Dezembro,Progresso,1081
Setembro,Planalto,1145
Maio,Aurora,773
Agosto,Planalto,1848
Janeiro,Planalto,95
Maio,Progresso,1223
Marco,Planalto,642
Dezembro,Planalto,989
Janeiro,Progresso,822
Abril,Progresso,531
Maio,Horizonte,1482
Julho,Planalto,1248
Janeiro,Litoral,1500
Marco,Aurora,704
Fevereiro,Aurora,1777
Setembro,Progresso,1744
Outubro,Progresso,286
Junho,Horizonte,1668
Outubro,Planalto,1885
Marco,Progresso,1040
Agosto,Progresso,736
Agosto,Aurora,1213
Fevereiro,Planalto,113
Junho,Horizonte,328
Julho,Progresso,99
Fevereiro,Progresso,264
Novembro,Progresso,1710
Outubro,Aurora,85
Fevereiro,Progresso,1724
Outubro,Progresso,1671
Janeiro,Aurora,480
Agosto,Progresso,554
Janeiro,Planalto,1641
Setembro,Planalto,298
Novembro,Aurora,783
Junho,Planalto,1910
Julho,Horizonte,854
Outubro,Progresso,517
Julho,Horizonte,810
Outubro,Planalto,559
Marco,Aurora,1467
Fevereiro,Aurora,1513
Setembro,Horizonte,775
Agosto,Planalto,859
Dezembro,Progresso,1231
Outubro,Planalto,1167
Julho,Planalto,1863
Setembro,Aurora,1559
Abril,Litoral,1512
Abril,Progresso,215
Janeiro,Progresso,1129
Agosto,Aurora,1528
Dezembro,Planalto,1443
Marco,Aurora,1451
Julho,Planalto,895
Dezembro,Litoral,1468
Fevereiro,Litoral,1464
Fevereiro,Horizonte,1425
Julho,Planalto,1155
Junho,Aurora,1061
Marco,Aurora,595
Setembro,Aurora,112
Outubro,Horizonte,1587
Junho,Progresso,751
Outubro,Aurora,1976
Outubro,Litoral,604
Junho,Aurora,656
Janeiro,Aurora,1859
Abril,Aurora,197
Outubro,Progresso,1592
Junho,Aurora,1799
Junho,Progresso,357
Novembro,Progresso,1578
Dezembro,Horizonte,1878
Maio,Litoral,147
Janeiro,Aurora,1375
Agosto,Aurora,1944
Maio,Aurora,1115
Dezembro,Progresso,365
Dezembro,Planalto,803
Dezembro,Litoral,1457
Maio,Aurora,1177
Julho,Planalto,1832
Abril,Planalto,1409
Junho,Planalto,639
Abril,Litoral,1709
Marco,Planalto,1105
Julho,Aurora,983
Agosto,Aurora,728
Abril,Horizonte,1355
Fevereiro,Progresso,1103
Dezembro,Planalto,1839
Outubro,Progresso,730
Marco,Progresso,920
Janeiro,Progresso,442
Agosto,Progresso,1105
Marco,Progresso,745
Dezembro,Aurora,1638
Outubro,Litoral,1976
Julho,Planalto,1021
Outubro,Planalto,968
Maio,Aurora,898
Outubro,Aurora,997
Maio,Progresso,1222
Julho,Litoral,1149
Setembro,Planalto,1031
Dezembro,Horizonte,456
Maio,Aurora,1654
Janeiro,Horizonte,323
Outubro,Planalto,790
Outubro,Aurora,598
Janeiro,Planalto,1720
Fevereiro,Aurora,110
Junho,Planalto,1204
Setembro,Horizonte,562
Agosto,Litoral,1133
Maio,Aurora,951
Janeiro,Horizonte,429
Julho,Planalto,1912
Maio,Horizonte,396
Junho,Aurora,1515
Julho,Horizonte,1616
Marco,Planalto,1849
Dezembro,Progresso,1960
Outubro,Litoral,448
Marco,Litoral,56
Maio,Progresso,1464
Junho,Aurora,978
Setembro,Horizonte,1208
Dezembro,Horizonte,1004
Maio,Progresso,1093
Janeiro,Progresso,376
Abril,Planalto,1507
Maio,Planalto,703
Dezembro,Litoral,1447
Outubro,Aurora,192
Outubro,Aurora,1795
Maio,Progresso,443
Julho,Litoral,532
Abril,Litoral,1036
Janeiro,Planalto,1710
Maio,Horizonte,540
Julho,Aurora,1394
Outubro,Litoral,1000
Outubro,Planalto,461
Junho,Planalto,403
Maio,Planalto,481
Abril,Horizonte,52
Fevereiro,Litoral,1005
Abril,Progresso,180
Outubro,Progresso,1148
Outubro,Planalto,1397
Marco,Planalto,1551
Outubro,Horizonte,1073
Janeiro,Planalto,209
Agosto,Litoral,1857
Maio,Planalto,66
Abril,Planalto,1468
Agosto,Litoral,405
Julho,Aurora,1105
Fevereiro,Progresso,938
Janeiro,Planalto,532
Dezembro,Litoral,1959
Novembro,Progresso,1228
Abril,Horizonte,1697
Agosto,Aurora,659
Dezembro,Planalto,822
Fevereiro,Aurora,906
Marco,Planalto,1677
Dezembro,Planalto,1731
Janeiro,Planalto,1588
Janeiro,Aurora,845
Marco,Horizonte,1011
Novembro,Litoral,851
Maio,Litoral,391
Dezembro,Horizonte,455
Marco,Horizonte,1446
Janeiro,Planalto,1359
Janeiro,Planalto,609
Agosto,Litoral,626
Outubro,Planalto,270
Novembro,Planalto,196
Dezembro,Horizonte,1050
Dezembro,Aurora,1253
Fevereiro,Progresso,1583
Marco,Progresso,1370
Fevereiro,Planalto,1422
Marco,Planalto,540
Julho,Progresso,402
Janeiro,Horizonte,1060
Outubro,Progresso,130
Agosto,Progresso,919
Outubro,Progresso,754
Outubro,Planalto,483
Outubro,Planalto,1882
Fevereiro,Progresso,1196
Marco,Planalto,1362
Setembro,Progresso,789
Julho,Horizonte,1543
Abril,Planalto,559
Outubro,Aurora,643
Maio,Planalto,962
Fevereiro,Horizonte,529
Novembro,Horizonte,1669
Agosto,Planalto,804
Abril,Litoral,1512
Setembro,Progresso,776
Maio,Progresso,1247
Setembro,Horizonte,395
Abril,Planalto,1004
Outubro,Litoral,1912
Maio,Aurora,154
Setembro,Progresso,1642
Agosto,Litoral,837
Marco,Progresso,1754
Janeiro,Planalto,1824
Marco,Progresso,1660
Abril,Aurora,1528
Fevereiro,Planalto,1367
Janeiro,Horizonte,844
Julho,Litoral,442
Agosto,Progresso,245
Julho,Planalto,471
Maio,Planalto,1550
Dezembro,Progresso,930
Janeiro,Horizonte,267
Julho,Progresso,202
Julho,Horizonte,1855
Setembro,Progresso,86
Marco,Planalto,739
Setembro,Aurora,1421
Janeiro,Aurora,761
Janeiro,Planalto,1243
Abril,Aurora,359
Setembro,Horizonte,1710
Junho,Planalto,1748
Novembro,Horizonte,1964
Marco,Planalto,1872
Janeiro,Horizonte,1427
Abril,Horizonte,299
Dezembro,Aurora,1452
Setembro,Planalto,991
Marco,Progresso,789
Dezembro,Aurora,1218
Setembro,Horizonte,674
Julho,Horizonte,1926
Dezembro,Progresso,1931
Abril,Progresso,1562
Marco,Horizonte,141
Outubro,Progresso,1254
Maio,Litoral,1201
Maio,Aurora,1351
Marco,Planalto,1515
Dezembro,Progresso,1754
Setembro,Progresso,1332
Abril,Litoral,1421
Novembro,Planalto,624
Maio,Litoral,533
Abril,Planalto,883
Maio,Aurora,351
Julho,Progresso,1285
Setembro,Aurora,537
Julho,Planalto,1827
Maio,Progresso,533
Outubro,Litoral,697
Outubro,Horizonte,600
Julho,Litoral,1994
Outubro,Horizonte,512
Maio,Litoral,1423
Marco,Planalto,352
Julho,Aurora,467
Novembro,Horizonte,117
Novembro,Planalto,106
Fevereiro,Aurora,1543
Dezembro,Aurora,1226
Setembro,Progresso,250
Outubro,Progresso,648
Outubro,Progresso,879
Dezembro,Horizonte,1112
Janeiro,Horizonte,1585
Junho,Aurora,1321
Julho,Horizonte,1187
Agosto,Aurora,1451
Outubro,Planalto,1789
Setembro,Litoral,1791
Fevereiro,Aurora,184
Novembro,Aurora,912
Outubro,Planalto,823
Fevereiro,Progresso,999
Maio,Progresso,1196
Maio,Progresso,644
Junho,Aurora,262
Marco,Aurora,836
Agosto,Horizonte,551
Janeiro,Horizonte,1248
Junho,Litoral,1348
Abril,Litoral,1309
Janeiro,Horizonte,1619
Julho,Aurora,220
Setembro,Planalto,1726
Abril,Horizonte,469
Abril,Aurora,1610
Junho,Horizonte,1170
Dezembro,Progresso,873
Marco,Horizonte,70
Dezembro,Progresso,339
Junho,Aurora,671
Julho,Progresso,1866
Novembro,Horizonte,1155
Outubro,Progresso,156
Outubro,Planalto,1852
Marco,Progresso,1860
Julho,Progresso,738
Marco,Litoral,994
Fevereiro,Planalto,1971
Dezembro,Aurora,335
Outubro,Progresso,670
Abril,Planalto,1623
Dezembro,Aurora,832
Agosto,Planalto,1404
Setembro,Litoral,777
Julho,Aurora,877
Janeiro,Aurora,181
Marco,Progresso,388
Dezembro,Horizonte,270
Setembro,Aurora,831
Dezembro,Aurora,1955
Janeiro,Litoral,898
Setembro,Litoral,1849
Agosto,Litoral,126
Janeiro,Progresso,1800
Junho,Aurora,654
Maio,Litoral,1952
Junho,Litoral,1724
Outubro,Planalto,641
Dezembro,Planalto,99
Maio,Litoral,797
Junho,Progresso,1416
Maio,Horizonte,381
Novembro,Planalto,1367
Dezembro,Planalto,1225
Maio,Aurora,1168
Abril,Aurora,727
Marco,Litoral,1045
Marco,Aurora,1454
Abril,Aurora,1007
Setembro,Horizonte,1513
Fevereiro,Progresso,370
Setembro,Litoral,1163
Janeiro,Horizonte,578
Janeiro,Litoral,917
Maio,Progresso,1986
Junho,Litoral,790
Junho,Aurora,1356
Marco,Progresso,1418
Julho,Horizonte,1807
Setembro,Horizonte,1306
Novembro,Planalto,1866
Dezembro,Horizonte,1943
Outubro,Planalto,1425
Agosto,Aurora,765
Junho,Horizonte,482
Dezembro,Progresso,1387
Agosto,Planalto,1051
Dezembro,Horizonte,429
Maio,Aurora,306
Agosto,Progresso,446
Outubro,Progresso,838
Dezembro,Aurora,306
Abril,Horizonte,1022
Outubro,Litoral,208
Agosto,Horizonte,878
Outubro,Planalto,1032
Dezembro,Planalto,1844
Fevereiro,Horizonte,252
Dezembro,Planalto,1486
Dezembro,Litoral,737
Maio,Litoral,131
Setembro,Progresso,1519
Abril,Planalto,1098
Novembro,Horizonte,979
Junho,Progresso,67
Janeiro,Litoral,1570
Setembro,Progresso,1010
Janeiro,Aurora,1869
Maio,Planalto,1845
Abril,Horizonte,936
Dezembro,Litoral,1189
Marco,Progresso,1222
Junho,Horizonte,1399
Fevereiro,Planalto,70
Marco,Horizonte,1046
Maio,Planalto,1679
Setembro,Planalto,1221
Fevereiro,Planalto,687
Outubro,Progresso,986
Agosto,Planalto,785
Fevereiro,Horizonte,682
Novembro,Aurora,689
Maio,Horizonte,495
Julho,Progresso,336
Agosto,Planalto,917
Janeiro,Aurora,714
Junho,Progresso,1398
Janeiro,Litoral,249
Fevereiro,Litoral,834
Janeiro,Litoral,197
Novembro,Aurora,1886
Maio,Horizonte,416
Outubro,Aurora,270
Setembro,Aurora,277
Junho,Aurora,355
Novembro,Litoral,228
Novembro,Horizonte,1961
Janeiro,Aurora,1549
Janeiro,Horizonte,1017
Fevereiro,Planalto,466
Setembro,Aurora,659
Marco,Aurora,677
Janeiro,Aurora,172
Maio,Planalto,334
Julho,Planalto,1991
Junho,Litoral,756
Dezembro,Progresso,1825
Janeiro,Horizonte,1800
Maio,Progresso,52
Maio,Aurora,809
Junho,Aurora,311
Marco,Litoral,1753
Maio,Progresso,1544
Julho,Aurora,381
Maio,Progresso,1014
Maio,Litoral,310
Maio,Progresso,1076
Outubro,Horizonte,821
Outubro,Litoral,496
Marco,Progresso,1289
Janeiro,Aurora,822
Maio,Planalto,528
Setembro,Planalto,618
Janeiro,Litoral,916
Marco,Planalto,1755
Abril,Horizonte,644
Janeiro,Litoral,489
Janeiro,Aurora,249
Agosto,Aurora,717
Fevereiro,Litoral,1896
Dezembro,Planalto,983
Agosto,Planalto,328
Julho,Aurora,1208
Outubro,Horizonte,343
Outubro,Planalto,254
Fevereiro,Horizonte,926
Junho,Planalto,1770
Junho,Litoral,134
Marco,Progresso,342
Novembro,Aurora,439
Fevereiro,Litoral,1211
Dezembro,Planalto,460
Janeiro,Aurora,558
Junho,Progresso,1957
Dezembro,Progresso,1291
Maio,Planalto,667
Novembro,Aurora,1130
Setembro,Planalto,141
Janeiro,Progresso,833
Julho,Litoral,1443
Maio,Litoral,620
Maio,Horizonte,1485
Fevereiro,Progresso,820
Novembro,Progresso,242
Marco,Planalto,1190
Julho,Horizonte,756
Junho,Horizonte,719
Dezembro,Aurora,1348
Fevereiro,Planalto,1426
Junho,Litoral,953
Fevereiro,Aurora,1519
Fevereiro,Horizonte,1860
Fevereiro,Litoral,1109
Novembro,Progresso,673
Marco,Planalto,790
Fevereiro,Horizonte,246
Abril,Progresso,1901
Setembro,Horizonte,339
Junho,Litoral,1768
Janeiro,Aurora,1559
Agosto,Litoral,815
Dezembro,Planalto,1484
Julho,Planalto,1496
Outubro,Horizonte,1312
Marco,Litoral,1371
Janeiro,Aurora,1115
Maio,Planalto,1060
Abril,Aurora,137
Outubro,Progresso,225
Agosto,Horizonte,976
Janeiro,Aurora,327
Outubro,Horizonte,1416
Janeiro,Progresso,1370
Dezembro,Aurora,1353
Abril,Aurora,473
Agosto,Progresso,1489
Maio,Litoral,1892
Fevereiro,Aurora,82
Junho,Aurora,1101
Maio,Planalto,258
Fevereiro,Litoral,651
Novembro,Aurora,1667
Novembro,Progresso,297
Novembro,Horizonte,1451
Marco,Progresso,896
Setembro,Litoral,1431
Julho,Planalto,1776
Julho,Planalto,839
Novembro,Planalto,67
Junho,Progresso,262
Agosto,Horizonte,1796
Abril,Horizonte,563
Agosto,Aurora,1167
Abril,Horizonte,906
Agosto,Horizonte,971
Setembro,Aurora,856
Marco,Progresso,1090
Marco,Progresso,1312
Novembro,Litoral,577
Fevereiro,Progresso,1740
Outubro,Planalto,226
Marco,Planalto,1204
Marco,Litoral,347
Maio,Horizonte,1136
Maio,Litoral,1047
Fevereiro,Aurora,846
Dezembro,Litoral,1203
Outubro,Litoral,412
Junho,Planalto,665
Maio,Aurora,1343
Junho,Aurora,317
Janeiro,Litoral,549
Maio,Aurora,1865
Setembro,Aurora,1613
Dezembro,Progresso,1560
Outubro,Aurora,963
Fevereiro,Horizonte,266
Janeiro,Aurora,1430
Outubro,Planalto,695
Novembro,Progresso,1054
Setembro,Planalto,1359
Outubro,Planalto,1552
Setembro,Horizonte,595
Setembro,Progresso,772
Junho,Litoral,1771
Agosto,Aurora,1485
Novembro,Horizonte,1017
Janeiro,Horizonte,1404
Outubro,Litoral,742
Abril,Horizonte,833
Janeiro,Litoral,971
Agosto,Litoral,1522
Janeiro,Litoral,1770
Marco,Horizonte,1070
Abril,Litoral,76
Agosto,Horizonte,1185
Junho,Progresso,1565
Outubro,Litoral,1890
Dezembro,Horizonte,1210
Julho,Horizonte,1611
Agosto,Horizonte,311
Fevereiro,Aurora,696
Outubro,Aurora,1854
Novembro,Litoral,738
Agosto,Progresso,571
Marco,Litoral,1372
Julho,Planalto,1183
Marco,Planalto,1506
Julho,Progresso,1552
Novembro,Progresso,673
Dezembro,Progresso,1686
Fevereiro,Aurora,1859
Outubro,Aurora,316
Junho,Planalto,827
Marco,Progresso,717
Marco,Horizonte,1286
Setembro,Planalto,1382
Julho,Progresso,103
Maio,Horizonte,1738
Dezembro,Progresso,823
Outubro,Litoral,1947
Julho,Horizonte,444
Setembro,Litoral,561
Janeiro,Aurora,850
Julho,Planalto,374
Junho,Progresso,1811
Outubro,Planalto,145
Dezembro,Progresso,223
Setembro,Litoral,393
Janeiro,Horizonte,254
Abril,Horizonte,104
Setembro,Progresso,1820
Abril,Litoral,759
Outubro,Progresso,275
Marco,Progresso,1380
Setembro,Progresso,1354
Fevereiro,Horizonte,1690
Abril,Progresso,1864
Junho,Horizonte,1763
Fevereiro,Aurora,351
Agosto,Litoral,1278
Agosto,Aurora,269
Janeiro,Progresso,1053
Dezembro,Horizonte,477
Marco,Litoral,190
Outubro,Planalto,504
Setembro,Litoral,194
Maio,Litoral,1018
Junho,Progresso,575
Abril,Aurora,207
Outubro,Aurora,154
Fevereiro,Planalto,791
Novembro,Progresso,939
Agosto,Litoral,1999
Novembro,Aurora,338
Junho,Aurora,681
Maio,Horizonte,1767
Setembro,Litoral,1258
Janeiro,Progresso,1290
Maio,Aurora,1104
Junho,Progresso,328
Maio,Litoral,997
Junho,Litoral,1548
Junho,Aurora,274
Julho,Planalto,1956
Abril,Progresso,1895
Novembro,Progresso,1760
Agosto,Horizonte,1250
Julho,Litoral,133
Setembro,Litoral,1641
Julho,Aurora,141
Marco,Aurora,57
Marco,Aurora,1735
Agosto,Horizonte,1647
Maio,Planalto,1127
Abril,Aurora,1236
Agosto,Aurora,1704
Junho,Aurora,528
Fevereiro,Horizonte,157
Abril,Progresso,1929
Dezembro,Planalto,1344
Novembro,Progresso,1699
Abril,Litoral,286
Junho,Litoral,1334
Junho,Aurora,1031
Janeiro,Progresso,578
Agosto,Horizonte,1677
Junho,Planalto,678
Marco,Progresso,1460
Setembro,Progresso,1476
Fevereiro,Planalto,1431
Novembro,Progresso,1292
Agosto,Progresso,1538
Outubro,Planalto,1041
Marco,Horizonte,1494
Dezembro,Planalto,1222
Maio,Aurora,1430
Junho,Aurora,1124
Outubro,Aurora,103
Junho,Aurora,1212
Abril,Litoral,1743
Marco,Horizonte,1931
Abril,Litoral,798
Janeiro,Progresso,1186
Abril,Progresso,476
Janeiro,Planalto,547
Dezembro,Aurora,1365
Janeiro,Planalto,395
Outubro,Progresso,560
Junho,Aurora,490
Maio,Horizonte,1819
Novembro,Progresso,1705
Abril,Planalto,1676
Novembro,Planalto,971
Marco,Progresso,771
Janeiro,Litoral,1554
Junho,Horizonte,277
Fevereiro,Progresso,1046
Agosto,Progresso,659
Outubro,Planalto,877
Maio,Aurora,1163
Julho,Aurora,839
Outubro,Aurora,1609
Dezembro,Planalto,445
Fevereiro,Aurora,1148
Agosto,Progresso,877
Fevereiro,Litoral,1734
Abril,Litoral,1409
Janeiro,Litoral,1237
Maio,Aurora,1592
Setembro,Litoral,1006
Janeiro,Aurora,614
Setembro,Progresso,205
Novembro,Progresso,841
Agosto,Planalto,552
Junho,Planalto,1894
Julho,Horizonte,830
Marco,Progresso,383
Janeiro,Aurora,540
Maio,Horizonte,1680
Dezembro,Progresso,377
Dezembro,Aurora,50
Fevereiro,Progresso,1433
Maio,Progresso,676
Agosto,Aurora,1410
Novembro,Progresso,1626
Setembro,Progresso,236
Fevereiro,Progresso,318
Dezembro,Planalto,1504
Marco,Litoral,1612
Marco,Progresso,172
Janeiro,Aurora,601
Agosto,Progresso,1292
Junho,Planalto,1489
Dezembro,Planalto,1839
Agosto,Progresso,1259
Novembro,Horizonte,637
Setembro,Litoral,1637
Maio,Aurora,1278
Dezembro,Aurora,385
Marco,Aurora,1875
Maio,Aurora,439
Maio,Planalto,353
Maio,Litoral,963
Marco,Progresso,898
Novembro,Progresso,1752
Outubro,Horizonte,1585
Abril,Progresso,1848
Setembro,Litoral,1847
Outubro,Progresso,1021
Setembro,Planalto,275
Fevereiro,Progresso,1894
Agosto,Aurora,562
