Mes,Subestacao,Consumo(kWh)
Janeiro,Horizonte,1823
Marco,Aurora,1626
Maio,Aurora,795
Marco,Litoral,1605
Janeiro,Horizonte,295
Maio,Aurora,1645
Outubro,Horizonte,1788
Julho,Planalto,1004
Julho,Aurora,507
Novembro,Aurora,232
Setembro,Litoral,308
Outubro,Planalto,1709
Outubro,Planalto,935
Dezembro,Planalto,319
Marco,Progresso,862
Julho,Litoral,670
Janeiro,Litoral,400
Abril,Aurora,1812
Abril,Litoral,1261
Maio,Aurora,551
Julho,Aurora,1250
Julho,Progresso,1466
Novembro,Litoral,1511
Abril,Litoral,887
Julho,Progresso,1071
Novembro,Progresso,1422
Marco,Litoral,1893
Junho,Litoral,1567
Dezembro,Aurora,1136
Fevereiro,Horizonte,1830
Outubro,Aurora,229
Setembro,Planalto,1607
Maio,Planalto,1384
Junho,Horizonte,674
Dezembro,Progresso,1183
Dezembro,Planalto,564
Dezembro,Progresso,307
Dezembro,Progresso,1772
Abril,Aurora,589
Novembro,Progresso,470
Outubro,Horizonte,297
Julho,Aurora,1526
Dezembro,Horizonte,1082
Setembro,Progresso,1775
Julho,Planalto,1361
Janeiro,Progresso,514
Janeiro,Horizonte,1148
Setembro,Litoral,151
Novembro,Litoral,560
Setembro,Planalto,340
Abril,Horizonte,1632
Setembro,Planalto,1987
Marco,Aurora,1621
Julho,Progresso,1732
Junho,Aurora,172
Agosto,Litoral,1738
Novembro,Progresso,479
Setembro,Aurora,1389
Maio,Litoral,1194
Janeiro,Aurora,281
Marco,Progresso,1680
Outubro,Aurora,1096
Dezembro,Progresso,1963
Agosto,Aurora,1700
Novembro,Planalto,511
Junho,Aurora,1740
Agosto,Aurora,1748
Setembro,Planalto,638
Abril,Litoral,1000
Janeiro,Progresso,1365
Janeiro,Horizonte,777
Outubro,Litoral,658
Abril,Progresso,930
Dezembro,Aurora,248
Julho,Litoral,186
Fevereiro,Aurora,1443
Marco,Litoral,70
Janeiro,Litoral,209
Maio,Horizonte,371
Janeiro,Planalto,349
Agosto,Litoral,682
Janeiro,Aurora,1546
Novembro,Horizonte,754
Janeiro,Litoral,508
Fevereiro,Planalto,1409
Fevereiro,Aurora,776
Dezembro,Horizonte,704
Junho,Progresso,716
Julho,Planalto,65
Maio,Progresso,351
Janeiro,Progresso,1554
Janeiro,Horizonte,1432
Marco,Horizonte,1785
Fevereiro,Horizonte,993
Maio,Progresso,1650
Dezembro,Aurora,68
Outubro,Horizonte,651
Junho,Planalto,1622
Julho,Horizonte,1771
Abril,Horizonte,1512
Julho,Horizonte,358
Novembro,Progresso,96
Agosto,Aurora,180
Novembro,Horizonte,137
Janeiro,Progresso,391
Junho,Planalto,111
Agosto,Aurora,178
Maio,Progresso,88
Abril,Litoral,1914
Fevereiro,Planalto,1234
Junho,Planalto,840
Junho,Litoral,1747
Novembro,Progresso,1122
Janeiro,Progresso,686
Setembro,Planalto,994
Dezembro,Progresso,788
Novembro,Litoral,1378
Junho,Progresso,443
Marco,Planalto,401
Abril,Progresso,883
Dezembro,Aurora,120
Novembro,Litoral,1033
Abril,Litoral,1908
Marco,Horizonte,1832
Outubro,Progresso,1533
Marco,Litoral,88
Marco,Progresso,987
Abril,Aurora,1173
Julho,Planalto,1548
Abril,Planalto,562
Setembro,Horizonte,1759
Janeiro,Horizonte,725
Agosto,Litoral,1036
Julho,Litoral,1965
Fevereiro,Litoral,733
Agosto,Aurora,1616
Janeiro,Horizonte,1170
Novembro,Horizonte,671
Dezembro,Planalto,747
Setembro,Horizonte,1041
Setembro,Horizonte,1461
Fevereiro,Aurora,561
Julho,Litoral,1126
Outubro,Aurora,522
Marco,Progresso,1688
Julho,Planalto,1934
Dezembro,Planalto,234
Outubro,Planalto,250
Setembro,Litoral,127
Abril,Litoral,297
Dezembro,Litoral,1507
Janeiro,Planalto,822
Fevereiro,Planalto,869
Janeiro,Planalto,962
Dezembro,Progresso,81
Maio,Progresso,1719
Maio,Planalto,502
Novembro,Litoral,1678
Julho,Litoral,1579
Setembro,Progresso,430
Setembro,Progresso,1933
Marco,Planalto,1006
Marco,Planalto,1467
Marco,Litoral,456
Abril,Horizonte,930
Agosto,Litoral,1254
Junho,Litoral,366
Agosto,Planalto,708
Janeiro,Horizonte,1717
Agosto,Horizonte,991
Abril,Planalto,721
Novembro,Aurora,1925
Janeiro,Planalto,1375
Agosto,Progresso,623
Abril,Horizonte,909
Junho,Planalto,1383
Agosto,Litoral,1965
Abril,Litoral,1941
Marco,Litoral,776
Setembro,Planalto,1908
Marco,Aurora,841
Setembro,Progresso,1651
Fevereiro,Litoral,579
Fevereiro,Planalto,802
Fevereiro,Aurora,1681
Junho,Horizonte,609
Marco,Horizonte,609
Setembro,Progresso,879
Abril,Planalto,1313
Janeiro,Planalto,271
Abril,Litoral,791
Janeiro,Aurora,1740
Maio,Progresso,1647
Abril,Aurora,1175
Agosto,Progresso,430
Agosto,Planalto,407
Julho,Planalto,1407
Marco,Progresso,882
Janeiro,Aurora,1381
Janeiro,Horizonte,50
Dezembro,Horizonte,995
Novembro,Litoral,601
Marco,Litoral,633
Junho,Aurora,194
Julho,Planalto,1074
Junho,Aurora,639
Junho,Progresso,540
Junho,Horizonte,541
Marco,Litoral,766
Junho,Aurora,975
Agosto,Aurora,1790
Novembro,Progresso,884
Novembro,Planalto,1576
Fevereiro,Planalto,1607
Maio,Horizonte,1876
Janeiro,Litoral,873
Dezembro,Planalto,431
Janeiro,Planalto,959
Maio,Planalto,1305
Dezembro,Aurora,1630
Marco,Planalto,1927
Abril,Progresso,338
Marco,Horizonte,1469
Janeiro,Planalto,969
Janeiro,Litoral,1782
Dezembro,Aurora,1002
Dezembro,Progresso,954
Maio,Horizonte,1203
Junho,Aurora,1388
Marco,Progresso,1583
Dezembro,Aurora,912
Setembro,Horizonte,1823
Maio,Horizonte,846
Agosto,Planalto,1806
Janeiro,Litoral,551
Maio,Planalto,872
Marco,Aurora,911
Dezembro,Planalto,199
Janeiro,Horizonte,1960
Abril,Horizonte,1798
Maio,Horizonte,666
Julho,Planalto,738
Janeiro,Progresso,445
Marco,Planalto,1784
Fevereiro,Planalto,266
Setembro,Planalto,1977
Outubro,Planalto,530
Junho,Horizonte,1601
Outubro,Litoral,217
Marco,Planalto,1246
Agosto,Planalto,625
Agosto,Litoral,1776
Fevereiro,Planalto,1764
Junho,Litoral,286
Julho,Horizonte,1083
Fevereiro,Progresso,125
Novembro,Planalto,1287
Outubro,Progresso,1194
Fevereiro,Planalto,1016
Outubro,Aurora,1246
Janeiro,Aurora,902
Agosto,Horizonte,1641
Janeiro,Progresso,1303
Setembro,Progresso,1031
Novembro,Litoral,1658
Junho,Litoral,1797
Julho,Planalto,62
Outubro,Litoral,113
Julho,Litoral,1700
Outubro,Progresso,777
Marco,Aurora,719
Fevereiro,Progresso,1050
Setembro,Litoral,1893
Agosto,Planalto,1699
Dezembro,Aurora,615
Outubro,Litoral,874
Julho,Litoral,579
Setembro,Planalto,1610
Abril,Planalto,742
Abril,Litoral,837
Janeiro,Litoral,1596
Agosto,Progresso,1753
Dezembro,Horizonte,531
Marco,Planalto,1992
Julho,Planalto,1675
Dezembro,Progresso,136
Fevereiro,Aurora,1570
Fevereiro,Aurora,1499
Julho,Aurora,736
Junho,Planalto,1129
Marco,Horizonte,850
Setembro,Horizonte,778
Outubro,Progresso,659
Junho,Aurora,843
Outubro,Aurora,1944
Outubro,Litoral,1398
Junho,Progresso,1614
Janeiro,Progresso,1551
Abril,Planalto,926
Outubro,Planalto,365
Junho,Progresso,982
Junho,Horizonte,1574
Novembro,Progresso,1738
Dezembro,Horizonte,156
Maio,Planalto,1019
Janeiro,Progresso,1757
Agosto,Horizonte,467
Maio,Litoral,170
Dezembro,Litoral,61
Dezembro,Progresso,398
Dezembro,Aurora,600
Maio,Progresso,1220
Julho,Planalto,1732
Abril,Planalto,78
Junho,Litoral,1779
Abril,Horizonte,651
Marco,Litoral,542
Julho,Horizonte,1430
Agosto,Progresso,929
Abril,Aurora,804
Fevereiro,Planalto,1299
Dezembro,Progresso,1807
Outubro,Litoral,1405
Marco,Progresso,1605
Janeiro,Aurora,914
Agosto,Horizonte,1850
Marco,Aurora,563
Dezembro,Litoral,1229
Outubro,Aurora,595
Julho,Planalto,326
Outubro,Aurora,1412
Maio,Progresso,767
Outubro,Horizonte,386
Maio,Planalto,489
Julho,Planalto,1462
Setembro,Planalto,1414
Dezembro,Litoral,839
Maio,Litoral,748
Janeiro,Progresso,985
Outubro,Horizonte,1157
Outubro,Aurora,1037
Janeiro,Progresso,1264
Fevereiro,Litoral,977
Junho,Progresso,350
Setembro,Horizonte,1412
Agosto,Progresso,781
Maio,Planalto,520
Janeiro,Aurora,1106
Julho,Litoral,515
Maio,Litoral,340
Junho,Horizonte,351
Julho,Horizonte,688
Marco,Horizonte,534
Dezembro,Litoral,923
Outubro,Planalto,725
Marco,Aurora,413
Maio,Horizonte,751
Junho,Litoral,1156
Setembro,Planalto,1803
Dezembro,Horizonte,917
Maio,Horizonte,412
Janeiro,Aurora,75
Abril,Aurora,696
Maio,Progresso,392
Dezembro,Horizonte,1718
Outubro,Progresso,422
Outubro,Litoral,776
Maio,Aurora,977
Julho,Planalto,896
Abril,Horizonte,524
Janeiro,Horizonte,1154
Maio,Progresso,389
Julho,Aurora,1002
Outubro,Progresso,1793
Outubro,Horizonte,1697
Junho,Aurora,1563
Maio,Horizonte,1196
Abril,Aurora,495
Fevereiro,Horizonte,973
Abril,Planalto,942
Outubro,Progresso,784
Outubro,Aurora,171
Marco,Progresso,129
Outubro,Aurora,1713
Janeiro,Aurora,383
Agosto,Aurora,1056
Maio,Horizonte,123
Abril,Litoral,1523
Agosto,Horizonte,786
Julho,Litoral,1370
Fevereiro,Horizonte,135
Janeiro,Litoral,883
Dezembro,Aurora,1777
Novembro,Aurora,824
Abril,Litoral,549
Agosto,Litoral,172
Dezembro,Progresso,688
Fevereiro,Aurora,1502
Marco,Horizonte,1615
Dezembro,Progresso,216
Janeiro,Litoral,1732
Janeiro,Horizonte,1839
Marco,Planalto,480
Novembro,Planalto,87
Maio,Planalto,450
Dezembro,Horizonte,1686
Marco,Litoral,1019
Janeiro,Horizonte,640
Janeiro,Progresso,1014
Agosto,Progresso,803
Outubro,Planalto,151
Novembro,Litoral,1564
Dezembro,Progresso,1940
Dezembro,Aurora,821
Fevereiro,Aurora,1748
Marco,Planalto,1970
Fevereiro,Planalto,514
Marco,Planalto,1670
Julho,Progresso,1695
Janeiro,Litoral,1515
Outubro,Planalto,1479
Agosto,Horizonte,1462
Outubro,Planalto,1261
Outubro,Progresso,799
Outubro,Litoral,1109
Fevereiro,Planalto,919
Marco,Aurora,1978
Setembro,Planalto,261
Julho,Planalto,1439
Abril,Litoral,362
Outubro,Horizonte,923
Maio,Planalto,552
Fevereiro,Planalto,926
Novembro,Progresso,1023
Agosto,Litoral,645
Abril,Progresso,139
Setembro,Planalto,1717
Maio,Planalto,356
Setembro,Aurora,645
Abril,Progresso,155
Outubro,Litoral,1765
Maio,Planalto,252
Setembro,Aurora,376
Agosto,Aurora,1384
Marco,Horizonte,1693
Janeiro,Litoral,1104
Marco,Aurora,99
Abril,Litoral,953
Fevereiro,Planalto,136
Janeiro,Horizonte,1953
Julho,Litoral,1728
Agosto,Horizonte,1138
Julho,Litoral,800
Maio,Litoral,827
Dezembro,Progresso,649
Janeiro,Horizonte,384
Julho,Litoral,1954
Julho,Progresso,1249
Setembro,Progresso,710
Marco,Horizonte,519
Setembro,Planalto,1097
Janeiro,Horizonte,1019
Janeiro,Litoral,1736
Abril,Planalto,1398
Setembro,Horizonte,850
Junho,Horizonte,85
Novembro,Horizonte,970
Marco,Horizonte,281
Janeiro,Planalto,747
Abril,Litoral,1675
Dezembro,Progresso,1395
Setembro,Horizonte,1299
Marco,Progresso,1872
Dezembro,Progresso,409
Setembro,Progresso,989
Julho,Horizonte,1264
Dezembro,Horizonte,1246
Abril,Horizonte,1668
Marco,Horizonte,1706
Outubro,Aurora,515
Maio,Litoral,1961
Maio,Aurora,1763
Marco,Planalto,1908
Dezembro,Aurora,248
Setembro,Aurora,904
Abril,Aurora,790
Novembro,Litoral,178
Maio,Progresso,1827
Abril,Planalto,1912
Maio,Planalto,1065
Julho,Litoral,391
Setembro,Aurora,1156
Julho,Progresso,911
Maio,Horizonte,1210
Outubro,Litoral,1684
Outubro,Progresso,1575
Julho,Litoral,212
Outubro,Litoral,190
Maio,Horizonte,715
Marco,Progresso,222
Julho,Aurora,228
Novembro,Progresso,1933
Novembro,Progresso,1226
Fevereiro,Aurora,1641
Dezembro,Horizonte,1880
Setembro,Progresso,1716
Outubro,Aurora,508
Outubro,Litoral,1551
Dezembro,Litoral,614
Janeiro,Aurora,978
Junho,Litoral,1647
Julho,Progresso,787
Agosto,Aurora,154
Outubro,Progresso,756
Setembro,Planalto,1910
Fevereiro,Horizonte,949
Novembro,Horizonte,1273
Outubro,Horizonte,364
Fevereiro,Aurora,1986
Maio,Planalto,455
Maio,Horizonte,727
Junho,Progresso,777
Marco,Horizonte,336
Agosto,Planalto,866
Janeiro,Progresso,930
Junho,Progresso,415
Abril,Aurora,1290
Janeiro,Aurora,599
Julho,Litoral,1064
Setembro,Planalto,1838
Abril,Progresso,354
Abril,Planalto,779
Junho,Horizonte,1173
Dezembro,Horizonte,460
Marco,Litoral,584
Dezembro,Progresso,389
Junho,Progresso,1055
Julho,Litoral,332
Novembro,Horizonte,642
Outubro,Progresso,1727
Outubro,Planalto,180
Marco,Progresso,153
Julho,Horizonte,1612
Marco,Progresso,751
Fevereiro,Progresso,301
Dezembro,Aurora,831
Outubro,Progresso,1805
Abril,Litoral,733
Dezembro,Litoral,74
Agosto,Planalto,1262
Setembro,Progresso,1049
Julho,Planalto,252
Janeiro,Horizonte,1581
Marco,Horizonte,101
Dezembro,Aurora,701
Setembro,Aurora,1579
Dezembro,Progresso,517
Janeiro,Progresso,807
Setembro,Planalto,1491
Agosto,Planalto,840
Janeiro,Progresso,964
Junho,Progresso,169
Maio,Aurora,1813
Junho,Aurora,1565
Outubro,Aurora,306
Dezembro,Progresso,1531
Maio,Planalto,1266
Junho,Litoral,1711
Maio,Litoral,182
Novembro,Planalto,234
Dezembro,Planalto,1223
Maio,Planalto,1500
Abril,Aurora,307
Marco,Horizonte,1530
Marco,Progresso,797
Abril,Aurora,1464
Setembro,Litoral,1953
Fevereiro,Progresso,326
Setembro,Planalto,1400
Janeiro,Litoral,1644
Janeiro,Planalto,1850
Maio,Planalto,169
Junho,Planalto,634
Junho,Progresso,300
Marco,Litoral,164
Julho,Litoral,994
Setembro,Planalto,1469
Novembro,Aurora,1565
Dezembro,Horizonte,1685
Outubro,Aurora,1658
Agosto,Progresso,187
Junho,Horizonte,674
Dezembro,Aurora,635
Agosto,Litoral,1821
Dezembro,Aurora,1858
Maio,Planalto,791
Agosto,Progresso,309
Outubro,Aurora,625
Dezembro,Aurora,1729
Abril,Horizonte,1378
Outubro,Planalto,1569
Agosto,Horizonte,661
Outubro,Progresso,1228
Dezembro,Progresso,1079
Fevereiro,Planalto,665
Dezembro,Horizonte,1594
Dezembro,Planalto,875
Maio,Horizonte,813
Setembro,Litoral,593
Abril,Planalto,1495
Novembro,Progresso,1103
Junho,Horizonte,1374
Janeiro,Litoral,419
Setembro,Progresso,974
Janeiro,Horizonte,1805
Maio,Litoral,1223
Abril,Progresso,1872
Dezembro,Progresso,1794
Marco,Litoral,689
Junho,Progresso,1602
Fevereiro,Horizonte,1954
Marco,Horizonte,174
Maio,Progresso,1127
Setembro,Aurora,1664
Fevereiro,Litoral,1888
Outubro,Aurora,209
Agosto,Horizonte,1229
Fevereiro,Progresso,444
Novembro,Planalto,1496
Maio,Planalto,962
Julho,Aurora,893
Agosto,Aurora,1956
Janeiro,Aurora,420
Junho,Horizonte,1240
Janeiro,Horizonte,1829
Fevereiro,Progresso,1786
Janeiro,Horizonte,714
Novembro,Progresso,1867
Maio,Progresso,373
Outubro,Aurora,239
Setembro,Planalto,1732
Junho,Aurora,1598
Novembro,Horizonte,561
Novembro,Litoral,334
Janeiro,Horizonte,1895
Janeiro,Planalto,288
Fevereiro,Horizonte,634
Setembro,Planalto,731
Marco,Litoral,495
Janeiro,Litoral,1817
Maio,Progresso,1272
Julho,Horizonte,1272
Junho,Progresso,70
Dezembro,Aurora,314
Janeiro,Aurora,1571
Maio,Aurora,734
Maio,Aurora,1484
Junho,Aurora,1889
Marco,Horizonte,390
Maio,Progresso,1270
Julho,Progresso,1206
Maio,Planalto,889
Maio,Aurora,320
Maio,Litoral,638
Outubro,Planalto,1682
Outubro,Planalto,1757
Marco,Horizonte,428
Janeiro,Planalto,992
Maio,Litoral,1617
Setembro,Progresso,1109
Janeiro,Planalto,1762
Marco,Horizonte,1510
Abril,Aurora,456
Janeiro,Litoral,1219
Janeiro,Aurora,445
Agosto,Planalto,904
Fevereiro,Progresso,1455
Dezembro,Horizonte,1203
Agosto,Litoral,1309
Julho,Progresso,1740
Outubro,Litoral,227
Outubro,Horizonte,464
Fevereiro,Horizonte,481
Junho,Planalto,1927
Junho,Litoral,118
Marco,Planalto,1218
Novembro,Litoral,1116
Fevereiro,Litoral,1528
Dezembro,Aurora,1219
Janeiro,Planalto,1840
Junho,Litoral,243
Dezembro,Litoral,848
Maio,Horizonte,1136
Novembro,Aurora,333
Setembro,Horizonte,1780
Janeiro,Planalto,442
Julho,Planalto,1682
Maio,Litoral,77
Maio,Progresso,557
Fevereiro,Horizonte,1037
Novembro,Planalto,1833
Marco,Litoral,1987
Julho,Litoral,1728
Junho,Horizonte,508
Dezembro,Litoral,1034
Fevereiro,Aurora,822
Junho,Progresso,858
Fevereiro,Horizonte,1695
Fevereiro,Horizonte,1804
Fevereiro,Horizonte,1149
Novembro,Litoral,1275
Marco,Litoral,1274
Fevereiro,Horizonte,1841
Abril,Horizonte,422
Setembro,Aurora,1395
Junho,Planalto,378
Janeiro,Aurora,416
Agosto,Horizonte,1705
Dezembro,Litoral,1252
Julho,Litoral,176
Outubro,Horizonte,193
Marco,Planalto,242
Janeiro,Progresso,518
Maio,Progresso,1315
Abril,Aurora,1130
Outubro,Planalto,1494
Agosto,Progresso,1752
Janeiro,Planalto,626
Outubro,Litoral,482
Janeiro,Litoral,96
Dezembro,Planalto,1497
Abril,Horizonte,1471
Agosto,Progresso,345
Maio,Progresso,353
Fevereiro,Litoral,285
Junho,Aurora,465
Maio,Progresso,1033
Fevereiro,Litoral,1880
Novembro,Litoral,1686
Novembro,Planalto,1746
Novembro,Planalto,463
Marco,Planalto,1193
Setembro,Aurora,715
Julho,Progresso,604
Julho,Aurora,1512
Novembro,Aurora,605
Junho,Planalto,1151
Agosto,Litoral,1405
Abril,Horizonte,157
Agosto,Litoral,436
Abril,Litoral,56
Agosto,Litoral,902
Setembro,Litoral,1643
Marco,Aurora,1932
Marco,Planalto,1467
Novembro,Planalto,571
Fevereiro,Litoral,1301
Outubro,Horizonte,1243
Marco,Progresso,83
Marco,Litoral,1795
Maio,Litoral,203
Maio,Horizonte,877
Fevereiro,Aurora,1203
Dezembro,Litoral,762
Outubro,Horizonte,606
Junho,Aurora,54
Maio,Aurora,75
Junho,Litoral,549
Janeiro,Aurora,794
Maio,Litoral,1408
Setembro,Litoral,1482
Dezembro,Planalto,1867
Outubro,Progresso,1165
Fevereiro,Progresso,776
Janeiro,Planalto,1670
Outubro,Litoral,1607
Novembro,Horizonte,1476
Setembro,Aurora,1571
Outubro,Planalto,1851
Setembro,Planalto,91
Setembro,Planalto,1557
Junho,Planalto,1232
Agosto,Progresso,1744
Novembro,Litoral,1428
Janeiro,Planalto,549
Outubro,Planalto,299
Abril,Planalto,380
Janeiro,Horizonte,1922
Agosto,Horizonte,1810
Janeiro,Aurora,1287
Marco,Litoral,1436
Abril,Planalto,1547
Agosto,Aurora,1493
Junho,Aurora,289
Outubro,Litoral,1523
Dezembro,Horizonte,849
Julho,Litoral,1140
Agosto,Aurora,1961
Fevereiro,Litoral,919
Outubro,Horizonte,1264
Novembro,Aurora,419
Agosto,Litoral,328
Marco,Planalto,99
Julho,Planalto,1394
Marco,Litoral,1782
Julho,Litoral,221
Novembro,Horizonte,1071
Dezembro,Aurora,747
Fevereiro,Litoral,1770
Outubro,Aurora,1750
Junho,Planalto,1522
Marco,Aurora,67
Marco,Progresso,1445
Setembro,Horizonte,1462
Julho,Horizonte,1539
Maio,Aurora,660
Dezembro,Horizonte,1703
Outubro,Aurora,1319
Julho,Aurora,145
Setembro,Planalto,971
Janeiro,Aurora,338
Julho,Horizonte,859
Junho,Progresso,265
Outubro,Litoral,1740
Dezembro,Horizonte,1284
Setembro,Progresso,131
Janeiro,Horizonte,640
Abril,Progresso,1676
Setembro,Horizonte,682
Abril,Litoral,508
Outubro,Planalto,1865
Marco,Planalto,1455
Setembro,Litoral,308
Fevereiro,Horizonte,728
Abril,Progresso,888
Junho,Aurora,1469
Fevereiro,Horizonte,1106
Agosto,Litoral,839
Agosto,Planalto,1343
Janeiro,Planalto,1995
Dezembro,Horizonte,516
Marco,Progresso,1542
Outubro,Litoral,1966
Setembro,Litoral,1895
Maio,Progresso,474
Junho,Progresso,478
Abril,Horizonte,592
Outubro,Horizonte,630
Fevereiro,Planalto,1172
Novembro,Planalto,1986
Agosto,Progresso,1517
Novembro,Aurora,1681
Junho,Aurora,1444
Maio,Aurora,1205
Setembro,Litoral,315
Janeiro,Horizonte,271
Maio,Progresso,680
Junho,Planalto,1430
Maio,Aurora,1572
Junho,Planalto,186
Junho,Horizonte,750
Julho,Progresso,779
Abril,Aurora,1991
Novembro,Aurora,198
Agosto,Progresso,176
Julho,Planalto,1313
Setembro,Horizonte,328
Julho,Horizonte,1134
Marco,Horizonte,957
Marco,Planalto,1680
Agosto,Planalto,1451
Maio,Aurora,1474
Abril,Planalto,1433
Agosto,Litoral,488
Junho,Progresso,1950
Fevereiro,Planalto,1350
Abril,Horizonte,487
Dezembro,Planalto,608
Novembro,Aurora,1754
Abril,Progresso,146
Junho,Progresso,192
Junho,Horizonte,1297
Janeiro,Progresso,364
Agosto,Litoral,960
Junho,Progresso,78
Marco,Horizonte,1596
Setembro,Progresso,1102
Fevereiro,Planalto,794
Novembro,Aurora,1444
Agosto,Planalto,647
Outubro,Litoral,1035
Marco,Litoral,771
Dezembro,Aurora,1418
Maio,Aurora,1414
Junho,Aurora,521
Outubro,Aurora,675
Junho,Progresso,812
Abril,Planalto,617
Marco,Litoral,781
Abril,Progresso,230
Janeiro,Aurora,1588
Abril,Horizonte,1598
Janeiro,Horizonte,471
Dezembro,Planalto,887
Janeiro,Litoral,828
Outubro,Litoral,1449
Junho,Planalto,456
Maio,Aurora,1530
Novembro,Aurora,546
Abril,Litoral,1129
Novembro,Litoral,1986
Marco,Litoral,1338
Janeiro,Aurora,1196
Junho,Horizonte,1451
Fevereiro,Planalto,1412
Agosto,Planalto,1300
Outubro,Progresso,1549
Maio,Progresso,1229
Julho,Horizonte,799
Outubro,Litoral,1152
Dezembro,Horizonte,324
Fevereiro,Progresso,402
Agosto,Progresso,1032
Fevereiro,Planalto,1293
Abril,Horizonte,1333
Janeiro,Aurora,1504
Maio,Progresso,864
Setembro,Planalto,464
Janeiro,Litoral,1940
Setembro,Horizonte,438
Novembro,Progresso,173
Agosto,Aurora,1362
Junho,Progresso,1377
Julho,Aurora,1233
Marco,Horizonte,1455
Janeiro,Aurora,161
Maio,Aurora,896
Dezembro,Planalto,1686
Dezembro,Horizonte,1299
Fevereiro,Progresso,537
Maio,Litoral,1632
Agosto,Horizonte,1722
Novembro,Horizonte,410
Setembro,Litoral,1236
Fevereiro,Progresso,96
Dezembro,Planalto,649
Marco,Progresso,387
Marco,Litoral,1346
Janeiro,Progresso,946
Agosto,Horizonte,104
Junho,Planalto,316
Dezembro,Aurora,594
Agosto,Progresso,1393
Novembro,Aurora,1038
Setembro,Planalto,1131
Maio,Aurora,669
Dezembro,Progresso,1989
Marco,Litoral,323
Maio,Horizonte,383
Maio,Horizonte,734
Maio,Aurora,1196
Marco,Horizonte,1628
Novembro,Horizonte,197
Outubro,Litoral,362
Abril,Aurora,1283
Setembro,Litoral,806
Outubro,Litoral,972
Setembro,Planalto,323
Fevereiro,Aurora,194
